Unnamed: 0,Date & Time,RCC,FS,Op Mode,Status,Thrust,Isp,Bus_V,Bus_I,Emit_V,Emit_I,Emit_P,Ext_V,Ext_I,Ext_P,Rsv_P,Rsv_T,Neut Bias,Neut_V,NeutB_I,NeutB_P,LVB_T,ThermoEle_V,FSe,Bus_P,m_dot,thr,isp,emtv,emti,emtp,extv,exti,extp,neuv,neui,neup,rsvp,md
0,2024-01-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,11.98,4.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.98,0.0,0.0,0.0,0.0,292.997,24.73,0.0,57.46806,,0.9751516666666687,6826.113778333331,9.755358333333339,3.5270150000000005,34.40557666666669,9.746036666666654,397.62573500000013,3.8746766666666668,321.6765566666672,5.692990000000002,1.8312466666666656,9.740426666666657,0.15721532000681293
1,2024-01-11 00:00:01,1.0,0.0,0.0,0.0,0.0,0.0,12.213,4.845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.213,0.0,0.0,0.0,0.0,293.045,24.537,0.0,59.17198499999999,,,,,,,,,,,,,,94.32919200408776
2,2024-01-11 00:00:02,0.0,0.0,0.0,0.0,0.0,0.0,11.959,4.779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.959,0.0,0.0,0.0,0.0,292.979,24.709,0.0,57.152060999999996,,,,,,,,,,,,,,
3,2024-01-11 00:00:03,0.0,0.0,0.0,0.0,0.0,0.0,12.155,4.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.155,0.0,0.0,0.0,0.0,292.962,24.595,0.0,57.88210999999999,,,,,,,,,,,,,,
4,2024-01-11 00:00:04,1.0,0.0,0.0,0.0,0.0,0.0,11.988,4.848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.988,0.0,0.0,0.0,0.0,293.048,24.738,0.0,58.117824,,,,,,,,,,,,,,
5,2024-01-11 00:00:05,0.0,0.0,0.0,0.0,0.0,0.0,11.842,4.822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.842,0.0,0.0,0.0,0.0,293.022,24.592,0.0,57.102124,,,,,,,,,,,,,,
6,2024-01-11 00:00:06,0.0,0.0,0.0,0.0,0.0,0.0,11.901,4.794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.901,0.0,0.0,0.0,0.0,292.994,24.651,0.0,57.053394,,,,,,,,,,,,,,
7,2024-01-11 00:00:07,0.0,0.0,0.0,0.0,0.0,0.0,11.931,4.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.931,0.0,0.0,0.0,0.0,292.997,24.681,0.0,57.23300699999999,,,,,,,,,,,,,,
8,2024-01-11 00:00:08,0.0,0.0,0.0,0.0,0.0,0.0,12.367,4.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.367,0.0,0.0,0.0,0.0,293.03,24.383,0.0,59.73261000000001,,,,,,,,,,,,,,
9,2024-01-11 00:00:09,0.0,0.0,0.0,0.0,0.0,0.0,12.312,4.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.312,0.0,0.0,0.0,0.0,293.004,24.438,0.0,59.146848,,,,,,,,,,,,,,
10,2024-01-11 00:00:10,0.0,0.0,0.0,0.0,0.0,0.0,11.807,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.807,0.0,0.0,0.0,0.0,293.0,24.557,0.0,56.6736,,,,,,,,,,,,,,
11,2024-01-11 00:00:11,0.0,0.0,0.0,0.0,0.0,0.0,11.965,4.794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.965,0.0,0.0,0.0,0.0,292.994,24.715,0.0,57.360209999999995,,,,,,,,,,,,,,
12,2024-01-11 00:00:12,0.0,0.0,0.0,0.0,0.0,0.0,12.233,4.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.233,0.0,0.0,0.0,0.0,293.03,24.517,0.0,59.085390000000004,,,,,,,,,,,,,,
13,2024-01-11 00:00:13,0.0,0.0,0.0,0.0,0.0,0.0,12.021,4.803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.021,0.0,0.0,0.0,0.0,293.003,24.729,0.0,57.736863,,,,,,,,,,,,,,
14,2024-01-11 00:00:14,0.0,0.0,0.0,0.0,0.0,0.0,12.116,4.831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.116,0.0,0.0,0.0,0.0,293.031,24.634,0.0,58.532396000000006,,,,,,,,,,,,,,
15,2024-01-11 00:00:15,0.0,0.0,0.0,0.0,0.0,0.0,12.071,4.767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.071,0.0,0.0,0.0,0.0,292.967,24.679,0.0,57.542457000000006,,,,,,,,,,,,,,
16,2024-01-11 00:00:16,1.0,0.0,0.0,0.0,0.0,0.0,11.744,4.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.744,0.0,0.0,0.0,0.0,293.04,24.494,0.0,56.840959999999995,,,,,,,,,,,,,,
17,2024-01-11 00:00:17,0.0,0.0,0.0,0.0,0.0,0.0,11.915,4.803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.915,0.0,0.0,0.0,0.0,293.003,24.665,0.0,57.22774499999999,,,,,,,,,,,,,,
18,2024-01-11 00:00:18,1.0,0.0,0.0,0.0,0.0,0.0,12.171,4.849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.171,0.0,0.0,0.0,0.0,293.049,24.579,0.0,59.017179,,,,,,,,,,,,,,
19,2024-01-11 00:00:19,0.0,0.0,0.0,0.0,0.0,0.0,12.205,4.779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.205,0.0,0.0,0.0,0.0,292.979,24.545,0.0,58.327695,,,,,,,,,,,,,,
20,2024-01-11 00:00:20,0.0,0.0,0.0,0.0,0.0,0.0,11.892,4.802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.892,0.0,0.0,0.0,0.0,293.002,24.642,0.0,57.105383999999994,,,,,,,,,,,,,,
21,2024-01-11 00:00:21,0.0,0.0,0.0,0.0,0.0,0.0,11.908,4.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.908,0.0,0.0,0.0,0.0,293.012,24.658,0.0,57.301296,,,,,,,,,,,,,,
22,2024-01-11 00:00:22,0.0,0.0,0.0,0.0,0.0,0.0,12.066,4.783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.066,0.0,0.0,0.0,0.0,292.983,24.684,0.0,57.711678000000006,,,,,,,,,,,,,,
23,2024-01-11 00:00:23,0.0,0.0,0.0,0.0,0.0,0.0,12.092,4.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.092,0.0,0.0,0.0,0.0,292.996,24.658,0.0,57.993232000000006,,,,,,,,,,,,,,
24,2024-01-11 00:00:24,0.0,0.0,0.0,0.0,0.0,0.0,12.139,4.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.139,0.0,0.0,0.0,0.0,292.985,24.611,0.0,58.085115,,,,,,,,,,,,,,
25,2024-01-11 00:00:25,0.0,0.0,0.0,0.0,0.0,0.0,12.247,4.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.247,0.0,0.0,0.0,0.0,292.997,24.503,0.0,58.748858999999996,,,,,,,,,,,,,,
